Trt;Cq;delta_cq;DNA_copy;DNA_log10;rep_bio;ID;conservation_t;qPCR_mix;Date_stdcurve;Site
FR;29.61;;8254;3.9166644645414;1;TEM1;0;GMM;25/11/2020;
FR;28.65;;15252;4.18332679660163;2;TEM2;0;GMM;25/11/2020;
FR;29.41;;9380;3.97220283837906;1;TEM1;0;GMM;25/11/2020;
FR;29.22;;10593;4.02501897228276;3;TEM3;0;GMM;25/11/2020;
FR;28.95;;12589;4.09999123354468;2;TEM2;0;GMM;25/11/2020;
FR;29.68;;7893;3.89724210280537;1;TEM1;0;GMM;25/11/2020;
FR;29.13;;11220;4.04999285692014;2;TEM2;0;GMM;25/11/2020;
FR;30.2;;5659;3.75273969393533;3;TEM3;0;GMM;25/11/2020;
FR;29.79;;7356;3.86664172056604;3;TEM3;0;GMM;25/11/2020;
GF;27.02;;172415.4934;5.23657628930652;1;FG_1;;GMM;29/07/2020;
NY;27.31;;144374.2141;5.15948963316375;1;NY_1;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FFG;;GMM;29/07/2020;
PES;28.86;;55908.10183;4.74747474751264;2;PES_2;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_FG;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_PES;;GMM;29/07/2020;
GF;26.37;;256659.1343;5.4093567250764;3;FG_3;;GMM;29/07/2020;
GF;26.79;;198478.7344;5.29771398199345;2;FG_2;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_PES;;GMM;29/07/2020;
NY;27.47;;130905.8528;5.11695906428888;1;NY_1;;GMM;29/07/2020;
ST;26.09;;304638.8033;5.4837852206867;1;ST_1;;GMM;29/07/2020;
GF;26.58;;225701.972;5.35353535360579;1;FG_1;;GMM;29/07/2020;
NY;26.5;;237028.5381;5.37480063796459;3;NY_3;;GMM;29/07/2020;
ST;26.36;;258234.8701;5.41201488575964;3;ST_3;;GMM;29/07/2020;
FNC1;40.08;;58.21281582;1.76501860711019;NA;neg1_FFG;;GMM;29/07/2020;
NY;26.43;;247404.5952;5.39340776179055;3;NY_3;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_FG;;GMM;29/07/2020;
PES;28.47;;70981.14636;4.85114300901273;1;PES_1;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_FG;;GMM;29/07/2020;
NY;27.04;;170317.7723;5.23125996803956;1;NY_1;;GMM;29/07/2020;
ST;26.39;;253536.4494;5.40404040404552;1;ST_1;;GMM;29/07/2020;
PES;28.79;;58355.51032;4.76608187132534;2;PES_2;;GMM;29/07/2020;
GF;26.88;;187841.0629;5.27379053703291;2;FG_2;;GMM;29/07/2020;
GF;26.53;;232715.9533;5.36682615635365;2;FG_2;;GMM;29/07/2020;
NY;26.16;;291862.3646;5.46517809669981;3;NY_3;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FNY;;GMM;29/07/2020;
ST;25.96;;329868.8511;5.51834130786402;1;ST_1;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FPES;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_Ny;;GMM;29/07/2020;
PES;28.5;;69689.68915;4.84316852735903;1;PES_1;;GMM;29/07/2020;
NY;26.54;;231295.9326;5.36416799565472;2;NY_2;;GMM;29/07/2020;
GF;26.38;;255093.0137;5.40669856463454;3;FG_3;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FPES;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FFG;;GMM;29/07/2020;
SNC1;No Cq;;1;0;NA;neg1_Ny;;GMM;29/07/2020;
GF;27.08;;166198.5865;5.22062732583882;1;FG_1;;GMM;29/07/2020;
NY;26.47;;241421.0418;5.38277511969413;2;NY_2;;GMM;29/07/2020;
GF;26.17;;290081.4357;5.46251993621036;3;FG_3;;GMM;29/07/2020;
PES;28.79;;58355.51032;4.76608187132534;2;PES_2;;GMM;29/07/2020;
FNC1;No Cq;;1;0;NA;neg1_FNY;;GMM;29/07/2020;
