Trt;Cq;delta_cq;DNA_copy;DNA_log10;rep_bio;ID;conservation_t;qPCR_mix;Date_stdcurve;Site
GF;27,02;;88023.44019;4.944598338;1;FG_1;;GMM;29/07/2020;
NY;27,31;;73158.6913;4.864265928;1;NY_1;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FFG;;GMM;29/07/2020;
PES;28,86;;27220.93554;4.434903047;2;PES_2;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_PES;;GMM;29/07/2020;
GF;26,37;;133245.8647;5.12465374;3;FG_3;;GMM;29/07/2020;
GF;26,79;;101931.9305;5.008310249;2;FG_2;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_PES;;GMM;29/07/2020;
NY;27,47;;66060.91707;4.819944598;1;NY_1;;GMM;29/07/2020;
ST;26,09;;159300.1066;5.202216066;1;ST_1;;GMM;29/07/2020;
GF;26,58;;116541.8732;5.066481994;1;FG_1;;GMM;29/07/2020;
NY;26,5;;122642.97;5.088642659;3;NY_3;;GMM;29/07/2020;
ST;26,36;;134098.47;5.127423823;3;ST_3;;GMM;29/07/2020;
FNC1;40,08;;21.22608046;1.326869806;NA;neg1_FFG;;GMM;29/07/2020;
NY;26,43;;128242.8736;5.108033241;3;NY_3;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
PES;28,47;;34908.90996;4.542936288;1;PES_1;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
NY;27,04;;86907.68303;4.939058172;1;NY_1;;GMM;29/07/2020;
ST;26,39;;131556.8825;5.119113573;1;ST_1;;GMM;29/07/2020;
PES;28,79;;28463.84913;4.454293629;2;PES_2;;GMM;29/07/2020;
GF;26,88;;96245.29354;4.983379501;2;FG_2;;GMM;29/07/2020;
GF;26,53;;120318.5003;5.08033241;2;FG_2;;GMM;29/07/2020;
NY;26,16;;152344.0457;5.182825485;3;NY_3;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FNY;;GMM;29/07/2020;
ST;25,96;;173072.1333;5.238227147;1;ST_1;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FPES;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_Ny;;GMM;29/07/2020;
PES;28,5;;34247.27639;4.534626039;1;PES_1;;GMM;29/07/2020;
NY;26,54;;119553.5088;5.077562327;2;NY_2;;GMM;29/07/2020;
GF;26,38;;132398.6804;5.121883657;3;FG_3;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FPES;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FFG;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_Ny;;GMM;29/07/2020;
GF;27,08;;84718.41839;4.927977839;1;FG_1;;GMM;29/07/2020;
NY;26,47;;125012.3469;5.096952909;2;NY_2;;GMM;29/07/2020;
GF;26,17;;151375.4341;5.180055402;3;FG_3;;GMM;29/07/2020;
PES;28,79;;28463.84913;4.454293629;2;PES_2;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FNY;;GMM;29/07/2020;
ST;26,71;;107268.1805;5.030470914;3;ST_3;;GMM;29/07/2020;
NY;26,24;;144765.4151;5.16066482;2;NY_2;;GMM;29/07/2020;
PES;28,59;;32336.66972;4.509695291;1;PES_1;;GMM;29/07/2020;
ST;26,6;;115064.6255;5.060941828;2;ST_2;;GMM;29/07/2020;
PES;27,68;;57779.37679;4.761772853;3;PES_3;;GMM;29/07/2020;
